Doc. Date,"FORETV
 Doc. #",Business Partner,Agency,"Sales 
Exec.",Product,Order,Total Foreing Currency
2023-02-27 00:00:00,2302001642.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 651504,62419.5
2023-02-27 00:00:00,2302001643.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLAVICENCIO AGUAS - ARG,op 651520,92247.0
2023-02-27 00:00:00,2302001712.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 651534,17460.0
2023-02-27 00:00:00,2302001757.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 653391,70131.0
2023-02-27 00:00:00,2302001617.0,ARCOR - ARG,MMS COMUNICACIONES ARGENTINA SA - ARG,RAQUEL MARTINEZ,JUGOS BC - ARG,op 20187A,47678.4
2023-02-27 00:00:00,2302001795.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,ACTRON - ARG,op 202302-0267,70798.56
2023-02-27 00:00:00,2302001842.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,EMPECID - ARG,op 202302-0318,56780.8
2023-02-27 00:00:00,2302001868.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,PARACETAMOL - ARG,op 202302-0411,6654.0
2023-02-27 00:00:00,2302001624.0,CEPAS - ARG,PHD ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,TERMA - ARG,op 202302-0081,239885.64
2023-02-27 00:00:00,2302001614.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,CORONA - ARG,op 20140,176670.0
2023-02-27 00:00:00,2302001615.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,BRAHMA - ARG,op 20160A,140400.0
2023-02-27 00:00:00,2302001672.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,MICHELOB ULTRA - ARG,op 20396,58500.0
2023-02-27 00:00:00,2302001708.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,ANDES ORIGEN - ARG,op 20958,69420.0
2023-02-27 00:00:00,2302001851.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,BUDWEISER - ARG,op 22734,45500.0
2023-02-27 00:00:00,2302001870.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,MICHELOB ULTRA - ARG,op 23002,7800.0
2023-02-27 00:00:00,2302001655.0,CLOROX ARGENTINA S.A. - ARG,HAVAS PLUS SA - ARG,RAQUEL MARTINEZ,TOTAL CLEANING - ARG,op 106255,99637.2
2023-02-27 00:00:00,2302001709.0,CLOROX ARGENTINA S.A. - ARG,HAVAS PLUS SA - ARG,RAQUEL MARTINEZ,FRAGANCE CLOROX - ARG,op 106315,53012.1
2023-02-27 00:00:00,2302001704.0,COMPARA EN CASA SA - ARG,COMPARA EN CASA SA - ARG,RAQUEL MARTINEZ,TE SENTIS - ARG,230204,22210.0
2023-02-27 00:00:00,2302001638.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,YOGURISIMO - ARG,op 651358,44232.0
2023-02-27 00:00:00,2302001641.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,DANONINO - ARG,op 651424,24604.05
2023-02-27 00:00:00,2302001639.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,YOGUR SER - ARG,op 651464,13968.0
2023-02-27 00:00:00,2302001640.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,YOGUR SER - ARG,op 651487,18391.2
2023-02-27 00:00:00,2302001654.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,LA SERENISIMA CLASICO - ARG,op 651622,64063.65
2023-02-27 00:00:00,2302001674.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,DANETTE ARG,op 651837,36375.0
2023-02-27 00:00:00,2302001658.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,POSTRE SERENITO - ARG,op 651862,25899.0
2023-02-27 00:00:00,2302001675.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,ACTIMEL - ARG,op 651899,28809.0
2023-02-27 00:00:00,2302001706.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,CASANCREM - ARG,op 651964,65780.55
2023-02-27 00:00:00,2302001715.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,LSC QUESOS - ARG,op 651998,37189.8
2023-02-27 00:00:00,2302001721.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,SILK - ARG,op 652717,47578.5
2023-02-27 00:00:00,2302001740.0,DANONE - ARG,DANONE ARGENTINA S.A - ARG,RAQUEL MARTINEZ,ACTIMEL - ARG,op 653116,23352.75
2023-02-27 00:00:00,2302001811.0,DRIDCO S.A - ARG,GROUP M ARGENTINA TRADING S.A. - ARG,PABLO ESCALONA,ZONAPROP - ARG,op 370507553,7200.0
2023-02-27 00:00:00,2302001622.0,FRATELLI BRANCA,NAYA COMUNICACIONES S.A,RAQUEL MARTINEZ,FERNET BRANCA - ARG,op 20352,141050.0
2023-02-27 00:00:00,2302001760.0,FRATELLI BRANCA,NAYA COMUNICACIONES S.A,RAQUEL MARTINEZ,SERNOVA - ARG,op 20699A,141856.0
2023-02-27 00:00:00,2302001853.0,FRAVEGA  - ARG,FRAVEGA S.A.C.I.E.I. - ARG,RAQUEL MARTINEZ,OFERTAS - ARG,op 202302-0363,9252.0
2023-02-27 00:00:00,2302001738.0,GLAXO SMITHKLINE ARG S.A - ARG,MMS COMUNICACIONES ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,CENTRUM GLAXO - ARG,op 21371,102381.75
2023-02-27 00:00:00,2302001761.0,GLAXO SMITHKLINE ARG S.A - ARG,MMS COMUNICACIONES ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,HINDS CREMA PIEL NORMAL - ARG,op 21548,69634.8
2023-02-27 00:00:00,2302001786.0,GLAXO SMITHKLINE ARG S.A - ARG,MMS COMUNICACIONES ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,SENSODYNE PASTA DENTAL - ARG,op 21816,134942.13
2023-02-27 00:00:00,2302001828.0,GLAXO SMITHKLINE ARG S.A - ARG,MMS COMUNICACIONES ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,CORA - ARG,op 22209,32698.08
2023-02-27 00:00:00,2302001720.0,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - ARG,GUSTAVO QUIROGA EPM S.A. - ARG,RAQUEL MARTINEZ,INSTITUCIONAL GOBIERNO DE BUENOS AIRES - ARG,op 20231,215934.0
2023-02-27 00:00:00,2302001791.0,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - ARG,GUSTAVO QUIROGA EPM S.A. - ARG,RAQUEL MARTINEZ,TURISMO PAN REGIONAL - ARG,op 20359-AND,742400.0
2023-02-27 00:00:00,2302001794.0,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - ARG,GUSTAVO QUIROGA EPM S.A. - ARG,RAQUEL MARTINEZ,TURISMO PAN REGIONAL - ARG,op 20359-ARG,489600.0
2023-02-27 00:00:00,2302001793.0,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - ARG,GUSTAVO QUIROGA EPM S.A. - ARG,RAQUEL MARTINEZ,TURISMO PAN REGIONAL - ARG,op 20359-CHI,449600.0
2023-02-27 00:00:00,2302001792.0,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - ARG,GUSTAVO QUIROGA EPM S.A. - ARG,RAQUEL MARTINEZ,TURISMO PAN REGIONAL - ARG,op 20359-DTV,0.0
2023-02-27 00:00:00,2302001825.0,GOBIERNO DE LA PROVINCIA DE BUENOS AIRES - ARG,SENTIDOS S.A. ARG,RAQUEL MARTINEZ,PAUTAS - ARG,op 20330,1347720.0
2023-02-27 00:00:00,2302001710.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,MEGACISTIN MAX - ARG,op 202302-0083,143563.05
2023-02-27 00:00:00,2302001762.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,CURFLEX - ARG,op 202302-0121,103959.45
2023-02-27 00:00:00,2302001796.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,102 PLUS - ARG,op 202302-0183,96808.8
2023-02-27 00:00:00,2302001803.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,MELATOL - ARG,op 202302-0233,72056.55
2023-02-27 00:00:00,2302001846.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,ORALSONE TOPIC MAX - ARG,op 202302-0266A,59405.4
2023-02-27 00:00:00,2302001866.0,GRAMON - ARG,GRAMON MILLET SA - ARG,RAQUEL MARTINEZ,COLTIX - ARG,op 202302-0467,27502.5
2023-02-27 00:00:00,2302001619.0,GRUPO PENAFLOR - ARG,PENAFLOR S.A. - ARG,RAQUEL MARTINEZ,GORDONS - ARG,op 71522,15000.0
2023-02-27 00:00:00,2302001620.0,GRUPO PENAFLOR - ARG,PENAFLOR S.A. - ARG,RAQUEL MARTINEZ,JOHNNIE WALKER PEÑAFLOR - ARG,op 71562,10000.0
2023-02-27 00:00:00,2302001818.0,GRUPO PENAFLOR - ARG,PENAFLOR S.A. - ARG,RAQUEL MARTINEZ,GORDONS - ARG,op 71639,48000.0
